S. NO.,DISTRICT,SCHOOL LIST,DEPARTMENT,ADDRESS
1417,FARUKKHABAD,GOVT U M S BIHAR FARUKHABAD,Basic Education,Sakwai Mohammadabad
1418,FARUKKHABAD,SHAKTI SAINIK INTER COLLEGE MAUDHA,Basic Education,Pipargaon Mohammadabad
1419,FARUKKHABAD,DR. SHIVNANDAN SINGH INTER COLLEGE KHIGSEPUR,Basic Education,Ataipur
1420,FARUKKHABAD,BHARTEEY VIDHALAY INTER COLLEGE MAHESH NAGAR  ,Basic Education,Ginoul
1421,FARUKKHABAD,PT. D D U MODAL SCHOOL KANKAPUR,Basic Education,Rajepur
1422,FARUKKHABAD,RAJKEEY U M S KUMHRAUR,Basic Education,Bahadurpur
1423,FARUKKHABAD,GOVT GIRLS INTER COLLEGE RAJEPUR,Basic Education,Baroun
1424,FARUKKHABAD,GANGADHAR MAHTMA GANDHI INTER COLLEGE RAJEPUR,Basic Education,Mahrupur Sahaju
1425,FARUKKHABAD,JANTA BHARTIY U M S BHARKHA,Basic Education,Nawabganj
1426,FARUKKHABAD,DAYANAND INTER COLLEGE AMRATPUR,Basic Education,Nawabganj
1427,FARUKKHABAD,S N M INTER COLLEGE KAYAMGANJ,Basic Education,Nawabganj
1428,FARUKKHABAD,KANYA VIDHYAPEETH INTER COLLEGE KAYAMGANJ,secondary education,"Kamalganj, Farrukhabad"
1429,FARUKKHABAD,PT. D D U MODAL SCHOOL ROSHNABAD,secondary education,Mohammadabad Farrukhabad
1430,FARUKKHABAD,D A V INTER COLLEGE RAJLAMAYI ,secondary education,Farrukhabad
1431,FARUKKHABAD,CHANDRA KU. JWALA SHANKAR GIRLS INTER COLLEGE SHAMSHABAD,secondary education,kayamganj farrukhabad
1432,FARUKKHABAD,RAMDARSHNI RAJKEEY INTER COLLEGE BHATASA FAROKHABAD,secondary education,"Kampil, Farrukhabad"
1433,FARUKKHABAD,P S GANDHI 1,secondary education,Rashidabad Tiwari Farrukhabad
1434,FARUKKHABAD,P S GANDHI 2 (5 STAR),secondary education,Shamshabad Farrukhabad
1435,FARUKKHABAD,P S KUSHMA ,secondary education,"Nawabganj, Farrukhabad"
1436,FARUKKHABAD,P S ALIGHAR ,secondary education,"Nawabganj, Farrukhabad"
1437,FARUKKHABAD,P S MIRJA NAGLA  ,secondary education,"Nawabganj, Farrukhabad"
1438,FARUKKHABAD,P S RAJIPUR ,secondary education,"Nawabganj, Farrukhabad"
1439,FARUKKHABAD,P S MASENI ,secondary education,Shamshabad Farrukhabad
1440,FARUKKHABAD,P S JAKHA ,secondary education,"Nawabganj, Farrukhabad"
1441,FARUKKHABAD,P S PAPIYAPUR ,secondary education,Sirauli Farrukhabad
1442,FARUKKHABAD,P S HAIVATPUR GADIYA ,secondary education,Shamshabad Farrukhabad
1443,FARUKKHABAD,P S AJMATPUR,,
1444,FARUKKHABAD,P S NOORPUR,,
1445,FARUKKHABAD,P S PACHPUKHRA,,
1446,FARUKKHABAD,P S JASMAI,,
1447,FARUKKHABAD,P S KUIYANBOOT,,
1448,FARUKKHABAD,P S DEVRAMPUR,,
1449,FARUKKHABAD,P S PATPARAGANJ,,
1450,FARUKKHABAD,P S MADNAPUR,,
1451,FARUKKHABAD, P S RAIPUR,,
1452,FARUKKHABAD, P S BALIPUR,,
1453,FARUKKHABAD, P S DEVRAN GADHIYA,,
1454,FARUKKHABAD,UCCH PRATHMIK VIDYALAYA VICHPURI,,
1455,FARUKKHABAD,P S CHITTAPUR KAPOORA,,
1456,FARUKKHABAD,UCCH PRATHMIK VIDYALAYA CHACHUPUR JATPURA,,
1457,FARUKKHABAD,P S BHAUPUR CHUARASI,,
1459,FATEHPUR,RAJKIYA INTER COLLEGE ARJUNPUR GADHA,Basic Education,Korai Teliani Fatehpur
1460,FATEHPUR,"RAJKIYA UCCH MADHYAMIK VIDYALAY, AKBARPUR CHORAI",Basic Education,Wahidpur Teliani Fatehpur
1461,FATEHPUR,PT. RAM GOPAL TRIPATHI INTER COLLEGE VIJAY NAGAR,Basic Education,Trilokipur Teliani Fatehpur
1462,FATEHPUR,"RAJARAM INTER COLLEGE, HARDOI",Basic Education,Sahili Teliani Fatehpur
1463,FATEHPUR,"BUDWAN INTER COLLEGE BUDWAN, FATEHPUR",Basic Education,Jagannathpur Teliani Fatehpur
1464,FATEHPUR,JANTA INTER COLLEGE MOHAMMADPUR GAUNTI,Basic Education,Sonhi Haswan Fatehpur
1465,FATEHPUR,CH. RAGHUNATH SAHAY INTER COLLEGE HATHGAAM,Basic Education,Kusumbhi Haswan Fatehpur
1466,FATEHPUR,RAJA RAGHURAJ SINGH INTER COLLEGE SAWANT MAU,Basic Education,Ramwan Haswan Fatehpur
1467,FATEHPUR,SUKHDEV INTER COLLEGE KHAGA,Basic Education,small smiles fatehpur
1468,FATEHPUR,"SARVODAYA INTER COLLEGE, KISHANPUR",Basic Education,Fatehpur
1469,FATEHPUR,PALI INTER COLLEGE PALI,Basic Education,Haswa Hasya Fatehpur
1470,FATEHPUR,"DHATA INTER COLLEGE, DHATA",Basic Education,Muraon Haswan Fatehpur
1471,FATEHPUR,"GANESH SHANKAR COLLEGE, HATHGAON",Basic Education,Fatehpur
1472,FATEHPUR,"JANTA INTER COLLEGE, CHHEOLAHA",Basic Education,Ghazipur Bahua Fatehpur
1473,FATEHPUR,"RAJKIYA INTER COLLEGE , FATEHPUR",Basic Education,Makhdoompur Bahua Fatehpur
1474,FATEHPUR,"RAJKIYA BALIKA INTER COLLEGE, HUSAINGANJ",Basic Education,Prophetpur Bakri Hathgam Fatehpur
1475,FATEHPUR,"RAJKIYA UCCH MADHYAMIK VIDYALAY, RAWATPUR FATEHPUR",Basic Education,Jhalaha Hathgam Fatehpur
1476,FATEHPUR,"PT. DEEN DAYAL UPADHAYA RAJKIYA MANDAL INTER COLLEGE, BAHUWA",Basic Education,Palwan Hathgam Fatehpur
1477,FATEHPUR,"PT. DEEN DAYAL UPADHAYA RAJKIYA MANDAL INTER COLLEGE, DANIYALPUR",Basic Education,Chivalha Hathgam Fatehpur
1478,FATEHPUR,"P.C.P. INTER COLLEGE, HAUSAINGANJ",Basic Education,Gauspur Hathgam Fatehpur
1479,FATEHPUR,"MUSLIM INTER COLLEGE, FATEHPUR",Basic Education,City Area Fatehpur
1480,FATEHPUR,"JANTA INTER COLLEGE, GAZIPUR",Basic Education,City Area Fatehpur
1481,FATEHPUR,"ASHOK INTER COLLEGE, SANKHA",Basic Education,City Area Fatehpur
1482,FATEHPUR,"SARVODAYA INTER COLLEGE, ASHOTHAR",Basic Education,City Area Fatehpur
1483,FATEHPUR,"LALAULI INTER COLLEGE, LALAULI",Basic Education,City Area Fatehpur
1484,FATEHPUR,"MAHATMA GANDHI INTER COLLEGE, SIDHAV",Basic Education,Teliani
1485,FATEHPUR,"MANNA LAL DIXIT INTER COLLEGE, KORAIN",Basic Education,Teliani
1486,FATEHPUR,"RAJKIYA BALIKA INTER COLLEGE, BINDKI",Basic Education,Teliani
1487,FATEHPUR,"RAJKIYA BALIKA INTER COLLEGE, MALWAN",Basic Education,Teliani
1488,FATEHPUR,"RAJKIYA UCHCH MADHYAMIK VIDYALAYA, DIGHA",Basic Education,Teliani
1489,FATEHPUR,"RAJKIYA UCCH MADHYAMIK VIDYALAY, LEHENGA, FATEHPUR",Basic Education,Mitaura
1490,FATEHPUR,"RAMDHEEN INTER COLLEGE, GAZIKHEDA",Basic Education,Bhitoura
1491,FATEHPUR,"SARVODAYA INTER COLLEGE, GOPALGANJ",Basic Education,Bhitoura
1492,FATEHPUR,"PT. NEHRU VIDYAPITH INTER COLLEGE, JAFARGANJ",Basic Education,Bhitoura
1493,FATEHPUR,SW. HARBANS SINGH INTER COLLEGE REWARI,Basic Education,Bhitoura
1494,FATEHPUR,ADHASHARAN SINGH ADARSH INTER COLLEGE JAHANABAD,secondary education,Airayan
1495,FATEHPUR,MISHRILAL MEWALAL INTER COLLEGE RANIPUR,secondary education,Khajuha
1496,FATEHPUR,SARVODYA VIDYA MANDIR INTER COLLEGE BIRNAI,secondary education,Airayan
1497,FATEHPUR,BALDEV GIRI PATHSHALA INTER COLLEGE AMAULI,secondary education,Khajuha
1498,FATEHPUR,SARASWATI VIDYA MANDIR INTER COLLEGE SULTANGARH,secondary education,Khajuha
1499,FATEHPUR,PRATHMIK VIDHYALAY PEERANPUR NAGAR KSHETRA FATEHPUR,secondary education,Khajuha
1500,FATEHPUR,PRATHMIK VIDHYALAY PANI PRATHAM NAGAR KSHETRA FATEHPUR,secondary education,Bahua
1501,FATEHPUR,PRATHMIK VIDHYALAY PANI DWITYA NAGAR KSHETRA FATEHPUR,secondary education,Bhithora
1502,FATEHPUR,"PRATHMIK VIDHYALAY AABUNAGAR DWITIYA, NAGAR KSHETRA FATEHPUR",secondary education,Mithora
1503,FATEHPUR,"PRATHMIK VIDHYALAY MADARIPUR KALA, VIKAS KHAND TELIYANI FATEHPUR",secondary education,vijaipur
1504,FATEHPUR,PRATHAMIK VIDHYALAY JAGATPUR GANDA VIKAS KHAND TELIYANI FATEHPUR,secondary education,Haswan
1505,FATEHPUR,PRATHMIK VIDHYALAY BERAGADHIWA VIKAS KHAND TELIYANI FATEHPUR,secondary education,Teliani
1506,FATEHPUR,PRATHMIK VIDHYALAY BADANPUR VIKAS KHAND HASWA FATEHPUR,secondary education,Teliani
1507,FATEHPUR,PRATHAMIK VIDHYALAY ASTI NAGAR KSHETRA FATEHPUR,secondary education,Teliani
1508,FATEHPUR,PRATHAMIK VIDHYALAY CHOUFERWA VIKAS KHAND BHITAURA FATEHPUR,secondary education,Teliani
1510,FIROZABAD,RAJKIYA KANYA INTER COLLEGE TUDLA,Basic Education,kadipur
1511,FIROZABAD,RAJKIYA KANYA INTER COLLEGE JASRANA,Basic Education,Milayla
1512,FIROZABAD,RAJKIYA INTER COLLEGE NASIRPUR,Basic Education,Tharia
1513,FIROZABAD,RAJKIYA HIGHSCHOOL KODRA,Basic Education,nagal gokul
1514,FIROZABAD,RAJKIYA HIGHSCHOOL DABRAYI (CIVIL LINE),Basic Education,Bhagarner
1515,FIROZABAD,RAJKIYA HIGHSCHOOL KARHARA,Basic Education,Khairgarh
1516,FIROZABAD,RAJKIYA HIGHSCHOOL NAGLA PAR,Basic Education,nagla jaat
1517,FIROZABAD,RAJKIYA HIGHSCHOOL BATOLAR EKA,Basic Education,Biltigad
1518,FIROZABAD,RAJKIYA HIGHSCHOOL NIYAMATPUR TUDLA,Basic Education,partner
1519,FIROZABAD,RAJKIYA HIGHSCHOOL KARI KHEDA,Basic Education,Bhamai
1520,FIROZABAD,RAJKIYA HIGHSCHOOL NASOOPUR SAJETI,Basic Education,woodpecker
1521,FIROZABAD,RAJKIYA HIGHSCHOOL SOTHRA,Basic Education,Madanpur
1522,FIROZABAD,RAJKIYA HIGHSCHOOL KESHARI,Basic Education,Sirsakhas
1523,FIROZABAD,RAJKIYA HIGHSCHOOL NARKHI,Basic Education,Sarai Muralidhar
1524,FIROZABAD,RAJKIYA HIGHSCHOOL DHEERPURA,Basic Education,lucknow
1525,FIROZABAD,RAJKIYA HIGHSCHOOL BASAI MUHAMMADPUR,Basic Education,Rupspur
1526,FIROZABAD,RAJKIYA HIGHSCHOOL THAR BALDI,Basic Education,Sapur
1527,FIROZABAD,RAJKIYA HIGHSCHOOL BARTHARA,Basic Education,Neem Kheria
1528,FIROZABAD,RAJKIYA HIGHSCHOOL NAGLA PATTI,Basic Education,Naushera
1529,FIROZABAD,RAJKIYA HIGHSCHOOL NAGLA KHEDA,Basic Education,Araj
1530,FIROZABAD,RAJKIYA BALIKA INTER COLLEGE NAGLA BAL FIROZABAD,Basic Education,standing
1531,FIROZABAD,GOPINATH INTER COLLEGE FIROZABAD,Basic Education,Kanwara
1532,FIROZABAD,KASTURBA INTER COLLEGE FIROZABAD,Basic Education,Biltigarh
1533,FIROZABAD,ISLAMIA INTER COLLEGE FIROZABAD,Basic Education,Bhadan
1534,FIROZABAD,P D JAIN INTER COLLEGE FIROZABAD,Basic Education,Diwali
1535,FIROZABAD,S R K INTER COLLEGE FIROZABAD,Basic Education,Bilhana
1536,FIROZABAD,SHRI TILAK INTER COLLEGE FIROZABAD,Basic Education,Shankarpur
1537,FIROZABAD,D A V INTER COLLEGE FIROZABAD,Basic Education,Aurangabad
1538,FIROZABAD,J V INTER COLLEGE ALINAGAR KEJRA,Basic Education,Darapur Milavli
1539,FIROZABAD,SHRI R K INTER COLLEGE KOTLA,Basic Education,Dholpura
1540,FIROZABAD,SHRI R R M INTER COLLEGE BACHGAON,Basic Education,Jatau
1541,FIROZABAD,C G V INTER COLLEGE GANJ GAGNI,Basic Education,mohammadi
1542,FIROZABAD,THAKUR BEERISINGH INTER COLLEGE TUDLA,Basic Education,Vaijua Khas
1543,FIROZABAD,M G BALIKA INTER COLLGE FOROZABAD,Basic Education,Kanthari
1544,FIROZABAD,RAM KANYA INTER COLLEGE FIROZABAD,Basic Education,nagla singhi
1545,FIROZABAD,DIGAMBAR JAIN INTER COLLEGE FIROZABAD,secondary education,Tundla Firozabad
1546,FIROZABAD,REVTI DEVI KANYA INTER COLLEGE FIROZABAD,secondary education,Jasrana Firozabad
1547,FIROZABAD,DAUDAYAL GIRLS INTER  COLLEGE FIROZABAD,secondary education,nagla ball firozabad
1548,FIROZABAD,KAMLA NEHRU CHANDRA KUMARI JAIN INTER COLLEGE FIROZABAD,secondary education,Sothra Arav Firozabad
1549,FIROZABAD,SHRI CHHOTE LAL INTER COLLEGE NAGLA VISHNU FIROZABAD,secondary education,Karhara Firozabad
1550,FIROZABAD,PRATHMIK VIDYALAY PADAM-1,secondary education,nagla patti firozabad
1551,FIROZABAD,PRATHMIK VIDYALAY KATENA HARSHA-1,secondary education,Kodra Firozabad
1552,FIROZABAD,PRATHMIK VIDYALAY MAHKEPUR,secondary education,Batolar Firozabad
1553,FIROZABAD,PRATHMIK VIDYALAY DHAURAU HIMMATPUR,secondary education,Tharabaldi Tundla Firozabad
1554,FIROZABAD,PRATHMIK VIDYALAY GARHI TIWARI,secondary education,Niamatpur Tundla Firozabad
1555,FIROZABAD,PRATHMIK VIDYALAY BHARAUL-1,secondary education,nagla paar firozabad
1556,FIROZABAD,PRATHMIK VIDYALAY BADA GAON-2,secondary education,Narkhi Firozabad
1557,FIROZABAD,PRATHMIK VIDYALAY NAGLA RAMKUNWAR,secondary education,Civil Line Dabrai Firozabad
1558,FIROZABAD,PRATHMIK VIDYALAY SELAYI,secondary education,Barthra Firozabad
1559,FIROZABAD,PRATHMIK VIDYALAY NAGLA KALE,secondary education,Dheerpura Firozabad
1561,GAUTAMBUDH NAGAR,GOVT HIGH SCHOOL SALEMPUR GUJJAR,Basic Education,Atta
1562,GAUTAMBUDH NAGAR,K M MAYAVATI G G I C BADALPUR,Basic Education,Atta
1563,GAUTAMBUDH NAGAR,PT DEEN DAYAL UPADHYAY GOVT MODEL INTER COLLEGE CHITI DANKUR,Basic Education,New Baran
1564,GAUTAMBUDH NAGAR,NEHRU SMARAK INTER COLLEGE SAKIPUR,Basic Education,Harola
1565,GAUTAMBUDH NAGAR,"AMICHAND INTER COLLEGE, KASNA",Basic Education,Garega
1566,GAUTAMBUDH NAGAR,INTER COLLEGE NAGLA KAROLI,Basic Education,Nithari
1567,GAUTAMBUDH NAGAR,H L J H S S NILAUNI MIRZAPUR,Basic Education,Chhalera
1568,GAUTAMBUDH NAGAR,K S G C I COLLEGE DHANAURI KHURD,Basic Education,Sadarpur
1569,GAUTAMBUDH NAGAR,"S L INTER COLLEGE, DHANAURI KALAN",Basic Education,Chhalera
1570,GAUTAMBUDH NAGAR,"JAIN INTER COLLEGE, JEWAR",Basic Education,Sec 12
1571,GAUTAMBUDH NAGAR,C S INTER COLLEGE AKALPUR MYANA,Basic Education,Sec 22
1572,GAUTAMBUDH NAGAR,"SARVHITKARI INTER COLLEGE, DAYANATPUR",Basic Education,Gizod
1573,GAUTAMBUDH NAGAR,L L R KANYA INTER COLLEGE DANKAUR,Basic Education,hoshiarpur
1574,GAUTAMBUDH NAGAR,PATEL INTER COLLEGE ASTAULI,Basic Education,agahpur
1575,GAUTAMBUDH NAGAR,C G V HSS HATEVA FARM,Basic Education,Dabra
1576,GAUTAMBUDH NAGAR,MAHARANA KUMBHA HSS K DADUPUR,Basic Education,sadopur
1577,GAUTAMBUDH NAGAR,ADARSH H S S KHATANA,Basic Education,Jonasmana
1578,GAUTAMBUDH NAGAR,B A INTER COLLEGE TILPTA,Basic Education,RanauliLatifpur
1579,GAUTAMBUDH NAGAR, S S V INTER COLLEGE BAIDPURA,Basic Education,BillAkbarpur
1580,GAUTAMBUDH NAGAR,"K T INTER COLLEGE, JAWAR",Basic Education,Dhoommanikpur
1581,GAUTAMBUDH NAGAR,DR RAJENDRA INTER COLLEGE BILASPUR,Basic Education,Raipur Bangar
1582,GAUTAMBUDH NAGAR,ADARSH INTER COLLEGE RANHERA,Basic Education,colt
1583,GAUTAMBUDH NAGAR,AGRASEN INTER COLLEGE DADRI,Basic Education,chithara
1584,GAUTAMBUDH NAGAR,VEDIC KANYA INTER COLLEGE DADRI,Basic Education,Kathara
1585,GAUTAMBUDH NAGAR,M B INTER COLLEGE DADRI,Basic Education,Dankaur
1586,GAUTAMBUDH NAGAR,V R S B INTER COLLEGE KALAUNDA,Basic Education,Shadipur Chhidouli
1587,GAUTAMBUDH NAGAR,R S S INTER COLLEGE BISAHRA,Basic Education,Nawada
1588,GAUTAMBUDH NAGAR,J INTER COLLEGE MAYACHA ,Basic Education,Bilaspur
1589,GAUTAMBUDH NAGAR,N S C B COLLEGE KHERI BHANOTA,Basic Education,ringworm
1590,GAUTAMBUDH NAGAR,S G INTER COLLEGE DUJANA ,Basic Education,Kyampur
1591,GAUTAMBUDH NAGAR,SHRI RAM MODEL INTER COLLEGE THORA ,Basic Education,bat's hut
1592,GAUTAMBUDH NAGAR,BIHARI LAL INTER COLLEGE DANKAUR,Basic Education,Chuharpur Khadar
1593,GAUTAMBUDH NAGAR,JANTA INTER COLLEGE JEWAR,Basic Education,Daula Rajpura
1594,GAUTAMBUDH NAGAR,A KANYA INTER COLLEGE JEWAR,Basic Education,Parasoul
1595,GAUTAMBUDH NAGAR,S K INTER COLLEGE GARHI,Basic Education,Usmanpur
1596,GAUTAMBUDH NAGAR,S S S INTER COLLEGE DADRI,secondary education,noida gautam buddha nagar
1597,GAUTAMBUDH NAGAR,J INTER COLLEGE ROZA YAKUBPUR,secondary education,noida gautam buddha nagar
1598,GAUTAMBUDH NAGAR,PUBLIC INTER COLLEGE RABUPURA,secondary education,Chhajarsi GB Nagar
1599,GAUTAMBUDH NAGAR,CH L N INTER COLLEGE MANDI SHYAM NAGAR,secondary education,Shadipur Chidoli GB Nagar
1600,GAUTAMBUDH NAGAR,UCHH PRATHAMIK VIDDYALAY TUGALPUR,secondary education,Bambawar Gautam Buddha Nagar
1601,GAUTAMBUDH NAGAR,UCHH PRATHAMIK VIDDYALAY KASNA,secondary education,Gori Bachhera Sector MU II Gr Noida
1602,GAUTAMBUDH NAGAR,UCHH PRATHAMIK VIDDYALAY SIRSA,secondary education,Habibpur Gautam Buddha Nagar
1603,GAUTAMBUDH NAGAR,UCHH PRATHAMIK VIDDYALAY NATO KI MADAIYA,secondary education,Sadarpur Gautam Buddha Nagar
1604,GAUTAMBUDH NAGAR,UCHH PRATHAMIK VIDDYALAY LADPURA,secondary education,Sharafabad Gautam Buddha Nagar
1605,GAUTAMBUDH NAGAR,UCHH PRATHAMIK VIDDYALAY GHARBARA,secondary education,Bilaspur Gautam Buddha Nagar
1606,GAUTAMBUDH NAGAR,UCHH PRATHAMIK VIDDYALAY DADHA,secondary education,Dadri Gautam Buddha Nagar
1607,GAUTAMBUDH NAGAR,UCHH PRATHAMIK VIDDYALAY CHUHADPUR KHADAR,secondary education,Gautam Buddha Nagar
1608,GAUTAMBUDH NAGAR,UCHH PRATHAMIK VIDDYALAY KHANPUR,secondary education,Bhangel Begumpur Gautam Buddha Nagar
1609,GAUTAMBUDH NAGAR,UCHH PRATHAMIK VIDDYALAY JAGANPUR AFAZALPUR,secondary education,Dankaur Gautam Buddha Nagar
1610,GAUTAMBUDH NAGAR,PUBLIC INTER COLLEGE JAHANGIR PUR ,secondary education,Habibpur Gautam Buddha Nagar
1612,GHAZIABAD,GOVT GIRLS INTER COLLEGE VIJAY NAGAR GHAZIABAD,Basic Education,Ghaziabad city area
1613,GHAZIABAD,GOVT ORDNANCE FACTORY INTER COLLEGE MURADNAGAR GHAZIABAD,Basic Education,Ghaziabad city area
1614,GHAZIABAD,GOVT INTER COLLEGE NANDGRAM GHAZIABAD,Basic Education,Ghaziabad city area
1615,GHAZIABAD,"GOVT. GIRLS INTER COLLEGE KALCHHINA, GHAZIABAD",Basic Education,Ghaziabad city area
1616,GHAZIABAD,GOVT. HIGHER SECONDARY SCHOOL KUSHALIYA DASNA GHAZIABAD,Basic Education,Ghaziabad city area
1617,GHAZIABAD,GOVT HIGH SCHOOL NAHALI GHAZIABAD,Basic Education,Chirori Loni
1618,GHAZIABAD,GOVT HIGHER SECONDARY SCHOOL ARTAULI GHAZIABAD,Basic Education,Gnoli Looney
1619,GHAZIABAD,GOVT HIGH SCHOOL MATOUR GHAZIABAD,Basic Education,fatehabad loni
1620,GHAZIABAD,GOVT HIGH SCHOOL NOORPUR GHAZIABAD,Basic Education,Rajpur Loni
1621,GHAZIABAD,RAJKIYA AASHRAM PADITI BALIKA VIDHYALAY NIDORI GHAZIABAD,Basic Education,Nistoli Loni
1622,GHAZIABAD,GOVT INTER COLLEGE TYODI GHAZIABAD,Basic Education,Naipura Ward Loni
1623,GHAZIABAD,ADARSH GIRLS INTER  COLLEGE GOVINDPURI GHAZIABAD,Basic Education,Yashingdhi Rajapur
1624,GHAZIABAD,A S S INTER COLLEGE MURAD GRAMPUR PURSI GHAZIABAD,Basic Education,Jalalabad
1625,GHAZIABAD,A N INTER COLLEGE ADHYATMIK NAGAR GHAZIABAD,Basic Education,Kanoja
1626,GHAZIABAD,AZAD MEMORIAL INTER COLLEGE DASANA GHAZIABAD,Basic Education,noorpur
1627,GHAZIABAD,C D D P S KANYA INTER COLLEGE SONDA GHAZIABAD,Basic Education,Kushlia
1628,GHAZIABAD,H H K M INTER COLLEGE MADHOPURA GHAZIABAD,Basic Education,Bhikanpur
1629,GHAZIABAD,JANTA INTER COLLEGE SARAULI GHAZIABAD,Basic Education,Shamli
1630,GHAZIABAD,J L M GIRLS INTER COLLEGE MURADNAGAR GHAZIABAD,Basic Education,Kinhapur
1631,GHAZIABAD,KISAN NATIONAL INTER COLLEGE MURADNAGAR GHAZIABAD,Basic Education,Nagla Musa
1632,GHAZIABAD,K R INTER COLLEGE CHIRORI GHAZIABAD,Basic Education,strip
1633,GHAZIABAD,KANYA VEDIC VIDYALAY INTER COLLEGE GHAZIABAD,Basic Education,Amrala
1634,GHAZIABAD,L M T J INTER COLLEGE MORTA GHAZIABAD,Basic Education,Sarah
1635,GHAZIABAD,LONI INTER COLLEGE LONI GHAZIABAD,Basic Education,Jagatpuri Modinagar
1636,GHAZIABAD,M M H BALIKA INTER COLLEGE GHAZIABAD,Basic Education,Begumabad Modinagar
1637,GHAZIABAD,M M H V INTER COLLEGE GHAZIABAD,Basic Education,Zoya GZB
1638,GHAZIABAD,M S S INTER COLLEGE SANTWAS KHURAMPUR MURADNAGAR GHAZIABAD,Basic Education,Muradnagar
1639,GHAZIABAD,M D I C GOVINDPURI MODINAGAR GHAZIABAD,Basic Education,Shahzadpur Muradnagar
1640,GHAZIABAD,DR K N MODI SC & COM COLLEGE MODINAGAR GHAZIABAD,Basic Education,Sounda
1641,GHAZIABAD,NAGAR PALIKA BALIKA INTER COLLEGE CHANDARAPURI,Basic Education,Sarna Muradnagar
1642,GHAZIABAD,NANAK CHANAD JANTA INTER COLLEGE SONDA GHAZIABAD,Basic Education,Dhindhar Muradnagar
1643,GHAZIABAD,N J INTER COLLEGE FARRUKH NAGAR GHAZIABAD,Basic Education,Paga
1644,GHAZIABAD,NEHRU SMARAK VIDHYALAY INTER COLLEGE  SURANA GHAZIABAD,Basic Education,Kunhaira
1645,GHAZIABAD,T R M P B A S K INTER COLLEGE MODINAGAR GHAZIABAD,Basic Education,Jhalawar
1646,GHAZIABAD,T R M P B A S K INTER COLLEGE MODINAGAR GHAZIABAD,Basic Education,sultanpur
1647,GHAZIABAD,RUKMANI MODI MAHILA INTER COLLEGE MODINAGAR GZB,secondary education,Hapur Road Ghaziabad
1648,GHAZIABAD,SANJAY GANDHI S B INTER COLLEGE NIWARI GZB,secondary education,Chandrapuri Hapur Road Ghaziabad
1649,GHAZIABAD,SETH MUKUND LAL INTER COLLEGE GZB,secondary education,Chandrapuri Hapur Road Ghaziabad
1650,GHAZIABAD,SHAMBHU DAYAL INTER COLLEGE GHAZIABAD,secondary education,Model Town Ghaziabad
1651,GHAZIABAD,SHRI G S INTER COLLEGE MANDAULA GZB,secondary education,Ghaziabad near old tehsil
1652,GHAZIABAD,P S KHURAMPUR 1,secondary education,Ambeukar Road Ghaziabad
1653,GHAZIABAD,P S AJABPUR MANGAWALI,secondary education,Lohianagar Ghaziabad
1654,GHAZIABAD,P S MEWLA BHATTI N 01,secondary education,Rajnagar Village
1655,GHAZIABAD,P S AFZALPUR,secondary education,nandgram ghaziabad
1656,GHAZIABAD,P S MEERPUR HINDU,secondary education,Raint Ganj Ghaziabad
1657,GHAZIABAD,P S BHOIPUR,secondary education,nandgram ghaziabad
1658,GHAZIABAD,P S SARA,secondary education,kavinagar ghaziabad
1659,GHAZIABAD,P S MAHAMADPUR ,secondary education,Model Town Ghaziabad
1660,GHAZIABAD,P S KALLUGARAHI,secondary education,madhopura ghaziabad
1661,GHAZIABAD,P S BABALGARHI,secondary education,GT Road Ghaziabad
1663,GHAZIPUR,"RAJKIYA BALIKA INTER COLLEGE, NARIPACHDEVRA, GHAZIPUR",Basic Education,Bhadoora
1664,GHAZIPUR,RAJKIYA BALIKA INTER COLLEGE SAADAT,Basic Education,Bhadoora
1665,GHAZIPUR,"RAJKIYA BALIKA INTER COLLEGE, GEHMAR",Basic Education,Bhadoora
1666,GHAZIPUR,RAJKIYA BALIKA INTER COLLEGE SAIDPUR,Basic Education,Biron
1667,GHAZIPUR,RAJKIYA CITY INTER COLLEGE  ,Basic Education,Biron
1668,GHAZIPUR,"RAJKIYA BALIKA INTER COLLEGE, GHAZIPUR",Basic Education,Virno
1669,GHAZIPUR,"RAJKIYA BALIKA INTER COLLEGE, MOHAMMADABAD",Basic Education,Devkali
1670,GHAZIPUR,RAJKIYA BALIKA INTER COLLEGE JAMAANIA,Basic Education,Devkali
1671,GHAZIPUR,LURDAS CONVENT BALIKA INTER COLLEGE ,Basic Education,Devkali
1672,GHAZIPUR,"BEZAL BAGHEL INTER COLLEGE, MIRZAPUR , GHAZIPUR",Basic Education,karanda
1673,GHAZIPUR,"JASWANT RAI INTER COLLEGE GORKHA GAURI, GHAZIPUR",Basic Education,karanda
1674,GHAZIPUR,INTER COLLEGE GOSANDEPUR,Basic Education,karanda
1675,GHAZIPUR,"INDIRA GANDHI BALIKA INTER COLLEGE, MALIKPURA ",Basic Education,Sadar
1676,GHAZIPUR,"BESEN INTER COLLEGE BASUDEV, GHAZIPUR",Basic Education,Sadar
1677,GHAZIPUR,"M A H INTER COLLEGE, GHAZIPUR",Basic Education,Sadar
1678,GHAZIPUR,"ADARSH INTER COLLEGE, MAHUABAGH",Basic Education,Sadat
1679,GHAZIPUR,"DAV INTER COLLEGE, GHAZIPUR",Basic Education,Sadat
1680,GHAZIPUR,INTER COLLEGE KHALISPUR,Basic Education,Sadat
